GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01001,"Autauga, AL",23584,24643,25082,26500,27745,29004,29942,31665,33245,32986,33685,34430,35151,35348,36329,38107,39005,39906,41062,42538,45089,49254,49879,52989,55710
01003,"Baldwin, AL",26683,27222,27614,28365,30671,32510,34976,36215,36220,35363,36794,38032,38284,38401,39568,41470,42983,44475,45840,47921,50935,56504,57721,61354,63905
01005,"Barbour, AL",18847,19971,20121,20763,22652,23736,24647,25475,25822,26217,27746,27992,27779,29450,29470,31062,31071,31992,33239,34694,37090,41062,41053,41924,44906
01007,"Bibb, AL",17504,17780,18515,19519,20831,21273,22655,24054,24950,23779,25072,25879,26917,27117,27860,28760,28584,28876,30030,32102,34859,37440,38232,40483,41951
01009,"Blount, AL",20118,21223,21290,22415,23641,24538,24862,26576,27855,27539,27914,28365,29728,30035,31310,32471,32533,33784,35278,36554,37789,43062,44085,45863,48543
01011,"Bullock, AL",15729,16756,17523,17672,18098,18293,20107,20924,23144,23831,23406,23859,24752,24577,23844,24998,25160,25715,26117,27176,30773,34222,33623,37052,39403
01013,"Butler, AL",19005,21004,21846,22603,23618,24360,25056,26973,27855,27451,28529,28820,29996,31585,33018,34718,34410,35669,36547,37751,39520,45620,47524,50171,53320
01015,"Calhoun, AL",22104,23159,24132,25180,26559,27457,28520,30039,30912,30132,30950,31651,31958,31620,32439,33651,34013,34695,35643,36761,39595,43320,42684,44970,47333
01017,"Chambers, AL",20305,21746,22266,22908,23549,24184,25497,26536,26139,26130,27366,28531,28866,29019,29505,30710,31441,31257,32527,33550,36084,39439,39568,41763,43944
01019,"Cherokee, AL",18402,19665,20062,20992,22336,23128,24083,26300,27643,27312,28171,29054,30242,31444,32953,34683,34613,35554,37121,37892,39928,44703,44552,45613,47994
01021,"Chilton, AL",19550,20952,21297,22044,23266,24447,25933,27239,27534,27157,27546,28762,29366,29559,30141,31682,32100,33222,34474,36220,38335,42911,43434,45777,48183
01023,"Choctaw, AL",19446,19898,20563,21163,21734,21984,23055,23838,24490,25419,27877,29239,31439,33489,34249,34644,35021,36186,37676,38470,40518,43719,43293,45672,49151
